GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
robot-world,za.co.wethinkcode.server.world.obstacles,Mountain,19,11,0,0,2,4,2,3,2,3
robot-world,za.co.wethinkcode.server.world.obstacles,ObstacleGenerator,178,0,16,0,29,0,14,0,5,0
robot-world,za.co.wethinkcode.server.world.obstacles,Pit,0,20,0,0,0,6,0,5,0,5
robot-world,za.co.wethinkcode.server.world.obstacles,Lake,0,11,0,0,0,4,0,3,0,3
robot-world,za.co.wethinkcode.server.world.obstacles,Obstacle,19,59,0,8,3,12,3,11,3,7
robot-world,za.co.wethinkcode.server.model,Direction,0,27,0,0,0,2,0,1,0,1
robot-world,za.co.wethinkcode.server.model,Robot,52,95,8,6,10,34,9,17,3,16
robot-world,za.co.wethinkcode.server.model,Robot.Status,0,27,0,0,0,2,0,1,0,1
robot-world,za.co.wethinkcode.server.model,Position,10,55,3,5,1,10,4,6,1,5
robot-world,za.co.wethinkcode.client.commands,StateCommand,12,81,4,1,5,16,5,3,1,3
robot-world,za.co.wethinkcode.client.commands,FireCommand,24,319,7,18,6,65,9,17,2,10
robot-world,za.co.wethinkcode.client.commands,TurnRightCommand,0,83,0,4,0,24,0,9,0,6
robot-world,za.co.wethinkcode.client.commands,LookCommand,0,50,0,0,0,14,0,3,0,3
robot-world,za.co.wethinkcode.client.commands,ReloadCommand,13,135,1,3,5,34,1,8,0,7
robot-world,za.co.wethinkcode.client.commands,TurnLeftCommand,0,83,0,4,0,24,0,9,0,6
robot-world,za.co.wethinkcode.client.commands,RepairCommand,28,101,0,2,8,26,1,7,1,6
robot-world,za.co.wethinkcode.client.commands,ForwardCommand,87,176,3,10,20,38,7,10,4,5
robot-world,za.co.wethinkcode.client.commands,BackCommand,87,176,3,10,20,38,7,10,4,5
robot-world,za.co.wethinkcode.server.handler,ClientHandler,75,0,2,0,23,0,5,0,4,0
robot-world,za.co.wethinkcode.client.robots,RobotMaker,0,31,0,0,0,3,0,3,0,3
robot-world,za.co.wethinkcode.client.robots,Robot,3,62,0,0,1,13,1,6,1,6
robot-world,za.co.wethinkcode.server.utils,PositionFinder,8,93,5,9,3,20,5,5,0,3
robot-world,za.co.wethinkcode.server.utils,ShootingValidator,5,27,1,5,2,6,2,3,1,1
robot-world,za.co.wethinkcode.server.utils,VisionFinder,78,255,17,23,13,51,12,15,0,6
robot-world,za.co.wethinkcode.server.utils,MovementValidator,13,72,3,15,4,14,4,7,1,1
robot-world,za.co.wethinkcode.server.utils,RobotDestroyedException,4,0,0,0,2,0,1,0,1,0
robot-world,za.co.wethinkcode.client.connection,ClientConnection,64,81,5,7,21,19,8,7,3,6
robot-world,za.co.wethinkcode.server,ServerConsole,110,0,7,0,38,0,10,0,5,0
robot-world,za.co.wethinkcode.server,RobotWorldServer,100,0,4,0,25,0,6,0,4,0
robot-world,za.co.wethinkcode.server.commands,RobotsCommand,173,0,6,0,27,0,8,0,5,0
robot-world,za.co.wethinkcode.server.commands,DumpCommand,79,264,4,6,8,40,4,6,1,4
robot-world,za.co.wethinkcode.server.commands,QuitCommand,61,0,0,0,23,0,5,0,5,0
robot-world,za.co.wethinkcode.server.world,World,40,424,22,51,8,85,18,43,2,20
robot-world,za.co.wethinkcode.server.world,WorldDumper,98,64,2,2,15,15,2,4,0,4
robot-world,za.co.wethinkcode.server.world,WorldConfig,59,143,4,0,20,30,4,13,2,13
robot-world,za.co.wethinkcode.protocol.client,LookResponse,0,31,0,0,0,9,0,2,0,2
robot-world,za.co.wethinkcode.protocol.client,CommandProcessor,512,95,53,5,118,24,42,4,9,4
robot-world,za.co.wethinkcode.client,Play,719,22,54,0,149,6,44,1,17,1
robot-world,za.co.wethinkcode.client,MainMenu,315,0,9,0,100,0,16,0,10,0
robot-world,za.co.wethinkcode.protocol.server,CommandFactory,69,6,0,0,10,1,10,1,10,1
robot-world,za.co.wethinkcode.protocol.server,ServerCommandProcessor,362,217,49,9,88,47,41,7,8,6
